,week-year,state,new_case
453,03-2022,NE,29141
454,03-2022,NH,21895
455,03-2022,NJ,79440
456,03-2022,NM,38995
457,03-2022,NV,41736
458,03-2022,NY,106574
459,03-2022,NYC,115252
460,03-2022,OH,138253
461,03-2022,OK,82524
462,03-2022,OR,57501
463,03-2022,PA,134711
464,03-2022,PR,31259
465,03-2022,PW,343
466,03-2022,RI,21545
467,03-2022,RMI,0
468,03-2022,SC,113650
469,03-2022,SD,13519
470,03-2022,TN,115278
471,03-2022,TX,404097
472,03-2022,UT,75655
473,03-2022,VA,100296
474,03-2022,VI,638
475,03-2022,VT,11683
476,03-2022,WA,109381
477,03-2022,WI,148595
478,03-2022,WV,30673
479,03-2022,WY,8901
480,04-2021,AK,973
481,04-2021,AL,18329
482,04-2021,AR,11392
483,04-2021,AS,0
484,04-2021,AZ,38043
485,04-2021,CA,139334
486,04-2021,CO,9845
487,04-2021,CT,12208
488,04-2021,DC,1585
489,04-2021,DE,3617
490,04-2021,FL,70800
491,04-2021,FSM,0
492,04-2021,GA,43700
493,04-2021,GU,32
494,04-2021,HI,758
495,04-2021,IA,6472
496,04-2021,ID,3358
497,04-2021,IL,25346
498,04-2021,IN,16524
499,04-2021,KS,8032
500,04-2021,KY,17064
501,04-2021,LA,17021
502,04-2021,MA,25267
503,04-2021,MD,13419
504,04-2021,ME,2362
505,04-2021,MI,10432
506,04-2021,MN,7011
507,04-2021,MO,11706
508,04-2021,MP,3
509,04-2021,MS,10376
510,04-2021,MT,2352
511,04-2021,NC,36424
512,04-2021,ND,813
513,04-2021,NE,3878
514,04-2021,NH,3786
515,04-2021,NJ,35007
516,04-2021,NM,4960
517,04-2021,NV,7636
518,04-2021,NY,46203
519,04-2021,NYC,38999
520,04-2021,OH,32940
521,04-2021,OK,14339
522,04-2021,OR,4816
523,04-2021,PA,39171
524,04-2021,PR,2640
525,04-2021,PW,0
526,04-2021,RI,4172
527,04-2021,RMI,0
528,04-2021,SC,26786
529,04-2021,SD,1107
530,04-2021,TN,19426
531,04-2021,TX,120181
532,04-2021,UT,10541
533,04-2021,VA,33566
534,04-2021,VI,80
535,04-2021,VT,802
536,04-2021,WA,11347
537,04-2021,WI,10994
538,04-2021,WV,5588
539,04-2021,WY,1121
540,04-2022,AK,16629
541,04-2022,AL,65745
542,04-2022,AR,33227
543,04-2022,AS,0
544,04-2022,AZ,115282
545,04-2022,CA,643248
546,04-2022,CO,59573
547,04-2022,CT,24396
548,04-2022,DC,2617
549,04-2022,DE,8611
550,04-2022,FL,208343
551,04-2022,FSM,0
552,04-2022,GA,116843
553,04-2022,GU,4597
554,04-2022,HI,15634
555,04-2022,IA,29925
556,04-2022,ID,19664
557,04-2022,IL,123812
558,04-2022,IN,79545
559,04-2022,KS,41419
560,04-2022,KY,82169
561,04-2022,LA,45251
562,04-2022,MA,62465
563,04-2022,MD,21399
564,04-2022,ME,11489
565,04-2022,MI,110955
566,04-2022,MN,92931
567,04-2022,MO,62048
568,04-2022,MP,622
569,04-2022,MS,36284
570,04-2022,MT,16708
571,04-2022,NC,139405
572,04-2022,ND,12170
573,04-2022,NE,22302
574,04-2022,NH,14699
575,04-2022,NJ,49109
576,04-2022,NM,32579
577,04-2022,NV,33583
578,04-2022,NY,63456
579,04-2022,NYC,53738
580,04-2022,OH,74778
581,04-2022,OK,69742
582,04-2022,OR,49760
583,04-2022,PA,89080
584,04-2022,PR,16642
585,04-2022,PW,1021
586,04-2022,RI,12825
587,04-2022,RMI,0
588,04-2022,SC,81733
589,04-2022,SD,8727
590,04-2022,TN,103288
591,04-2022,TX,290460
592,04-2022,UT,49262
593,04-2022,VA,73878
594,04-2022,VI,448
595,04-2022,VT,5455
596,04-2022,WA,111686
597,04-2022,WI,57213
598,04-2022,WV,28575
599,04-2022,WY,9157
600,05-2021,AK,921
601,05-2021,AL,12958
602,05-2021,AR,11677
